source_type,file,line,method,path,status,api_route,api_methods,auth,router_file
template,src/web/templates/operations.html,273,GET,/health,matched,/health,GET,unknown,health.py
template,src/web/templates/operations.html,303,GET,/stats,matched,/stats,GET,unknown,health.py
template,src/web/templates/engine_health.html,359,GET,/health,matched,/health,GET,unknown,health.py
template,src/web/templates/engine_health.html,360,GET,/status,matched,/status,GET,unknown,health.py
template,src/web/templates/engine_health.html,361,GET,/host-stats,matched,/host-stats,GET,unknown,health.py
template,src/web/templates/engine_agent_dashboard.html,57,GET,/engine/agents/metrics,matched,/engine/agents/{agent_id},GET,unknown,engine_agents.py
template,src/web/templates/engine_operations.html,476,GET,/engine/cron,matched,/engine/cron,GET,unknown,engine_cron.py
template,src/web/templates/engine_operations.html,547,PUT,/engine/cron/${id},matched,/engine/cron/{job_id},PUT,unknown,engine_cron.py
template,src/web/templates/engine_operations.html,560,POST,/engine/cron/${id}/trigger,matched,/engine/cron/{job_id}/trigger,POST,unknown,engine_cron.py
template,src/web/templates/engine_operations.html,572,DELETE,/engine/cron/${id},matched,/engine/cron/{job_id},DELETE,unknown,engine_cron.py
template,src/web/templates/engine_operations.html,638,GET,/engine/cron/${id}/history,matched,/engine/cron/{job_id}/history,GET,unknown,engine_cron.py
template,src/web/templates/engine_agents_mgmt.html,500,GET,/models/available,matched,/models/available,GET,unknown,models_config.py
template,src/web/templates/engine_agents_mgmt.html,380,GET,/engine/agents,matched,/engine/agents,GET,unknown,engine_agents.py
template,src/web/templates/engine_agents_mgmt.html,479,POST,/engine/agents/${agentId}/${action},unmatched,,,,
template,src/web/templates/engine_agents_mgmt.html,526,PATCH,/engine/agents/${agentId},matched,/engine/agents/{agent_id},GET,unknown,engine_agents.py
template,src/web/templates/engine_chat.html,1388,GET,/models/available,matched,/models/available,GET,unknown,models_config.py
template,src/web/templates/engine_chat.html,1537,GET,/engine/agents,matched,/engine/agents,GET,unknown,engine_agents.py
template,src/web/templates/engine_chat.html,2219,POST,/engine/chat/sessions,matched,/engine/chat/sessions,POST,api,engine_chat.py
template,src/web/templates/engine_cron.html,234,GET,/engine/cron/status,matched,/engine/cron/status,GET,unknown,engine_cron.py
template,src/web/templates/engine_cron.html,274,PUT,/engine/cron/${jobId},matched,/engine/cron/{job_id},PUT,unknown,engine_cron.py
template,src/web/templates/engine_cron.html,284,POST,/engine/cron/${jobId}/trigger,matched,/engine/cron/{job_id}/trigger,POST,unknown,engine_cron.py
template,src/web/templates/engine_cron.html,292,DELETE,/engine/cron/${jobId},matched,/engine/cron/{job_id},DELETE,unknown,engine_cron.py
template,src/web/templates/engine_cron.html,305,GET,/engine/cron/${jobId},matched,/engine/cron/{job_id},GET,unknown,engine_cron.py
template,src/web/templates/engine_cron.html,359,GET,/engine/cron/${jobId}/history,matched,/engine/cron/{job_id}/history,GET,unknown,engine_cron.py
template,src/web/templates/engine_prompt_editor.html,325,GET,/engine/agents/${agentId},matched,/engine/agents/{agent_id},GET,unknown,engine_agents.py
template,src/web/templates/engine_prompt_editor.html,341,GET,/engine/agents/${agentId}/assembled-prompt,unmatched,,,,
template,src/web/templates/engine_prompt_editor.html,354,GET,/engine/agents/${agentId}/template-vars,unmatched,,,,
template,src/web/templates/engine_prompt_editor.html,373,PATCH,/engine/agents/${agentId},matched,/engine/agents/{agent_id},GET,unknown,engine_agents.py
template,src/web/templates/sessions.html,408,GET,/engine/sessions,matched,/engine/sessions,GET,unknown,engine_sessions.py
template,src/web/templates/sessions.html,598,DELETE,/engine/sessions/ghosts,matched,/engine/sessions/{session_id},DELETE,unknown,engine_sessions.py
test,tests/test_websocket.py,82,POST,/engine/chat/sessions,matched,/engine/chat/sessions,POST,api,engine_chat.py
test,tests/test_websocket.py,115,DELETE,/engine/chat/sessions/{session_id},matched,/engine/chat/sessions/{session_id},DELETE,api,engine_chat.py
test,tests/test_engine_roundtable_router.py,129,POST,/engine/roundtable,matched,/engine/roundtable,POST,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,143,POST,/engine/roundtable,matched,/engine/roundtable,POST,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,152,POST,/engine/roundtable,matched,/engine/roundtable,POST,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,164,GET,/engine/roundtable,matched,/engine/roundtable,GET,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,178,GET,/engine/roundtable/rt-001,matched,/engine/roundtable/{session_id},GET,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,187,GET,/engine/roundtable/nonexistent,matched,/engine/roundtable/{session_id},GET,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,201,GET,/engine/roundtable/status/abc123,matched,/engine/roundtable/status/{key},GET,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,207,GET,/engine/roundtable/status/nonexistent,matched,/engine/roundtable/status/{key},GET,api,engine_roundtable.py
test,tests/test_engine_roundtable_router.py,217,DELETE,/engine/roundtable/rt-001,matched,/engine/roundtable/{session_id},DELETE,api,engine_roundtable.py
test,tests/load/locustfile.py,40,GET,/health,matched,/health,GET,unknown,health.py
test,tests/load/locustfile.py,210,GET,/engine/operations,unmatched,,,,
test,tests/skills/test_api_client.py,214,GET,/health,matched,/health,GET,unknown,health.py
